env_id,sigma,exact_final_eval_seeds,exact_eval_curve_seeds,exact_action_digest_seeds,exact_learning_summary_seeds,exact_epsilon_curve_seeds,mean_abs_final_eval_diff,max_abs_final_eval_diff,max_epsilon_block_diff
MountainCar-v0,500,3,3,0,0,0,16.562499999999993,63.19999999999999,0.0664899614201485
MountainCar-v0,2000,3,3,2,2,0,5.599999999999998,21.80000000000001,0.0336887395317872
MountainCar-v0,10000,5,5,5,5,0,5.100000000000001,38.5,0.003836558417392592
MountainCar-v0,50000,5,5,5,5,0,0.4250000000000007,3.0,0.000886232992835392
MountainCar-v0,100000,6,6,6,6,0,0.5000000000000036,2.9000000000000057,0.0003850955482171555
MountainCar-v0,500000,7,7,7,7,0,0.22499999999999787,1.799999999999983,8.384586772248285e-05
MountainCar-v0,1e+06,7,7,7,7,0,0.22499999999999787,1.799999999999983,4.1922934530354085e-05
MountainCar-v0,1e+07,8,8,8,8,0,0.0,0.0,4.142663773176088e-06
Acrobot-v1,500,0,0,0,0,0,72.475,410.0,0.0010973428586757786
Acrobot-v1,2000,0,0,0,0,0,63.275000000000006,379.6,0.00031949459981836677
Acrobot-v1,10000,2,2,2,2,0,66.4875,174.99999999999997,6.0070453424646034e-05
Acrobot-v1,50000,6,6,6,6,0,0.7125000000000004,3.299999999999997,1.13487247419713e-05
Acrobot-v1,100000,6,6,6,6,0,1.0625000000000018,6.1000000000000085,5.674362371190215e-06
Acrobot-v1,500000,7,7,7,7,0,0.3000000000000007,2.4000000000000057,1.134872474250204e-06
Acrobot-v1,1e+06,8,8,8,8,0,0.0,0.0,5.674362371251665e-07
Acrobot-v1,1e+07,8,8,8,8,0,0.0,0.0,5.6743623712203617e-08
