env_id,sigma,mean_final_eval,std_final_eval
MountainCar-v0,0.5,-200.0,0.0
MountainCar-v0,1,-200.0,0.0
MountainCar-v0,5,-189.64000000000001,22.64038672618273
MountainCar-v0,20,-159.05,24.84267162229806
MountainCar-v0,100,-118.46000000000001,19.540396902599273
MountainCar-v0,500,-105.6,10.595386836837163
MountainCar-v0,2000,-105.38,10.61077020976538
MountainCar-v0,10000,-100.02000000000001,5.349517112163802
MountainCar-v0,50000,-99.69,4.084237995024285
MountainCar-v0,100000,-100.67999999999998,5.137617260083812
MountainCar-v0,500000,-101.22,4.062785032735822
MountainCar-v0,1e+06,-100.30000000000001,4.207136793592526
MountainCar-v0,1e+07,-100.30000000000001,4.207136793592526
MountainCar-v0,inf,-100.30000000000001,4.207136793592526
Acrobot-v1,0.5,-193.87000000000003,22.869244266773073
Acrobot-v1,1,-195.3,29.928581657004727
Acrobot-v1,5,-179.5,17.51678560061114
Acrobot-v1,20,-153.18,27.284093860302153
Acrobot-v1,100,-107.55,13.56328786754074
Acrobot-v1,500,-109.79,13.68084224177899
Acrobot-v1,2000,-99.41,13.178640125428558
Acrobot-v1,10000,-95.97,11.479745448203788
Acrobot-v1,50000,-105.76000000000002,15.611548431992405
Acrobot-v1,100000,-104.38000000000002,12.6813774225568
Acrobot-v1,500000,-103.1,18.412978514563523
Acrobot-v1,1e+06,-100.53,19.74172400441934
Acrobot-v1,1e+07,-101.82,15.773944761325026
Acrobot-v1,inf,-101.82,15.773944761325026
