env_id,sigma,mean_abs_seed_score_diff,max_abs_seed_score_diff,exact_final_eval_seeds,exact_eval_curve_seeds,exact_stored_trajectory_seeds,exact_epsilon_curve_seeds,max_epsilon_curve_diff
MountainCar-v0,500,7.059999999999997,29.799999999999997,0,0,0,0,0.003178494850833382
MountainCar-v0,2000,6.44,29.0,0,0,0,0,0.0007593539192752523
MountainCar-v0,10000,3.5599999999999996,15.0,0,0,0,0,0.00013895314314819237
MountainCar-v0,50000,1.2899999999999991,6.0,1,1,1,0,2.9056564971389216e-05
MountainCar-v0,100000,2.160000000000001,10.399999999999991,4,3,3,0,1.435504216841102e-05
MountainCar-v0,500000,0.9200000000000017,7.300000000000011,7,7,7,0,2.8710084347536124e-06
MountainCar-v0,1e+06,0.0,0.0,10,10,10,0,1.411642573698337e-06
MountainCar-v0,1e+07,0.0,0.0,10,10,10,0,1.411642573687967e-07
Acrobot-v1,500,17.169999999999998,47.79999999999998,0,0,0,0,0.008568616482784132
Acrobot-v1,2000,17.969999999999995,43.900000000000006,0,0,0,0,0.0025727258831201266
Acrobot-v1,10000,14.45,28.200000000000003,0,0,0,0,0.00042921488816786166
Acrobot-v1,50000,15.099999999999998,34.099999999999994,1,0,0,0,7.853205194945494e-05
Acrobot-v1,100000,12.539999999999997,34.099999999999994,1,1,1,0,3.854864458859261e-05
Acrobot-v1,500000,12.18,27.60000000000001,4,4,4,0,7.709728931871603e-06
Acrobot-v1,1e+06,6.8100000000000005,27.60000000000001,7,7,7,0,3.767885570731828e-06
Acrobot-v1,1e+07,0.0,0.0,10,10,10,0,3.809784354272245e-07
