baseline,env_id,rate_iqm,baseline_iqm,mann_whitney_u,p_raw,cliffs_delta,probability_improvement,mean_difference,median_difference,wins,losses,ties,pvalue,p_holm,holm_significant_0_05
fixed,MountainCar-v0,-199.54545454545453,-197.96818181818182,429.5,0.7152831849056885,-0.04555555555555556,0.4772222222222222,-5.536666666666666,0.0,8,7,15,1.0,1.0,False
fixed,CartPole-v1,482.9818181818182,440.84999999999997,516.5,0.29691025836982504,0.14777777777777779,0.5738888888888889,38.80333333333332,3.25,15,9,6,0.30745625495910645,1.0,False
fixed,Acrobot-v1,-86.15714285714286,-84.04666666666667,417.0,0.6308240805741196,-0.07333333333333333,0.4633333333333333,5.956666666666666,-0.29999999999999716,13,17,0,0.584664711728692,1.0,False
fixed,LunarLander-v3,-43.265885242231676,-79.19681519047961,528.0,0.2518808246619124,0.17333333333333334,0.5866666666666667,62.39106114689303,45.99356669084017,18,12,0,0.361594608053565,1.0,False
decay,MountainCar-v0,-199.54545454545453,-200.0,506.5,0.2640251370803396,0.12555555555555556,0.5627777777777778,5.573333333333335,0.0,7,3,20,0.34375,0.5280502741606792,False
decay,CartPole-v1,482.9818181818182,411.20454545454544,539.5,0.15955183590062696,0.1988888888888889,0.5994444444444444,71.29666666666667,0.0,12,11,7,1.0,0.4786555077018809,False
decay,Acrobot-v1,-86.15714285714286,-88.42857142857143,481.0,0.6520120115385335,0.06888888888888889,0.5344444444444445,28.466666666666672,-1.0999999999999943,15,15,0,1.0,0.6520120115385335,False
decay,LunarLander-v3,-43.265885242231676,-131.0370012458054,576.0,0.06353265073480745,0.28,0.64,97.37951581912128,126.26656965801612,18,12,0,0.361594608053565,0.2541306029392298,False
boltzmann,MountainCar-v0,-199.54545454545453,-200.0,566.5,0.00824190288362374,0.2588888888888889,0.6294444444444445,11.76,0.0,9,1,20,0.021484375,0.024725708650871224,True
boltzmann,CartPole-v1,482.9818181818182,498.5363636363636,382.5,0.25146182192711725,-0.15,0.425,-51.21666666666667,0.0,6,12,12,0.237884521484375,0.5029236438542345,False
boltzmann,Acrobot-v1,-86.15714285714286,-386.2863636363636,648.0,0.0033695835234567014,0.44,0.72,186.86333333333334,143.3,23,7,0,0.005222879350185394,0.013478334093826806,True
boltzmann,LunarLander-v3,-43.265885242231676,-33.08467750214597,431.0,0.7844597689495466,-0.042222222222222223,0.47888888888888886,-5.200287684770857,-11.201452553885161,14,16,0,0.855535551905632,0.7844597689495466,False
vdbe,MountainCar-v0,-199.54545454545453,-200.0,494.0,0.397685068909042,0.09777777777777778,0.5488888888888889,4.146666666666667,0.0,6,4,20,0.75390625,1.0,False
vdbe,CartPole-v1,482.9818181818182,481.00454545454545,441.0,0.888376062934073,-0.02,0.49,-0.7999999999999943,0.0,9,12,9,0.6636238098144531,1.0,False
vdbe,Acrobot-v1,-86.15714285714286,-85.90714285714287,467.0,0.8072592000581861,0.03777777777777778,0.5188888888888888,9.090000000000002,4.200000000000003,19,11,0,0.20048842206597328,1.0,False
vdbe,LunarLander-v3,-43.265885242231676,-153.0966213115246,585.0,0.046755842392771814,0.3,0.65,102.75451365011517,116.01457079964759,23,7,0,0.005222879350185394,0.18702336957108726,False
