baseline,env_id,rate_mean,baseline_mean,rate_iqm,baseline_iqm,mann_whitney_u,p_raw,p_holm,holm_significant_0_05,cliffs_delta,probability_improvement,paired_mean_difference,paired_median_difference,paired_wins,paired_losses,paired_ties,paired_sign_p
fixed,MountainCar-v0,-116.26333333333332,-153.4333333333333,-113.79285714285713,-149.31428571428572,807.0,1.3583477051171938e-07,5.433390820468775e-07,True,0.7933333333333333,0.8966666666666666,37.169999999999995,27.15,28,2,0,8.67992639541626e-07
fixed,CartPole-v1,318.1433333333333,92.00666666666667,351.8142857142857,67.29285714285714,764.0,3.509002173913306e-06,1.0527006521739918e-05,True,0.6977777777777778,0.8488888888888889,226.13666666666668,264.9,26,4,0,5.947612226009369e-05
fixed,Acrobot-v1,-107.03666666666666,-107.32333333333335,-107.31333333333335,-106.19285714285716,442.0,0.9116992010075957,1.0,False,-0.017777777777777778,0.4911111111111111,0.28666666666666646,0.25,15,15,0,1.0
fixed,LunarLander-v3,56.27009009501318,58.03196546425392,66.26218411761793,58.04014816475541,459.0,0.8999950372363642,1.0,False,0.02,0.51,-1.7618753692407276,19.88830282278427,16,14,0,0.855535551905632
decay,MountainCar-v0,-116.26333333333332,-110.71000000000002,-113.79285714285713,-108.64285714285714,334.5,0.08907831017168119,0.26723493051504355,False,-0.25666666666666665,0.37166666666666665,-5.5533333333333355,-3.5500000000000043,9,21,0,0.04277394525706768
decay,CartPole-v1,318.1433333333333,402.1766666666666,351.8142857142857,477.45454545454544,316.0,0.04488369294230209,0.17953477176920837,False,-0.29777777777777775,0.3511111111111111,-84.03333333333333,-23.650000000000006,8,18,4,0.07551869750022888
decay,Acrobot-v1,-107.03666666666666,-108.10999999999999,-107.31333333333335,-103.60714285714286,390.5,0.38302860654693566,0.7660572130938713,False,-0.1322222222222222,0.4338888888888889,1.0733333333333326,-4.450000000000003,13,17,0,0.584664711728692
decay,LunarLander-v3,56.27009009501318,52.65941059997062,66.26218411761793,49.25676481887795,472.0,0.7505872315223063,0.7660572130938713,False,0.04888888888888889,0.5244444444444445,3.6106794950425627,8.840098159910923,17,13,0,0.584664711728692
boltzmann,MountainCar-v0,-116.26333333333332,-103.40666666666667,-113.79285714285713,-101.40714285714286,129.5,2.229650705974732e-06,8.918602823898927e-06,True,-0.7122222222222222,0.1438888888888889,-12.856666666666667,-10.5,3,27,0,8.430331945419312e-06
boltzmann,CartPole-v1,318.1433333333333,383.44,351.8142857142857,472.34545454545446,334.0,0.08092381319844333,0.24277143959532999,False,-0.2577777777777778,0.3711111111111111,-65.29666666666667,-15.699999999999989,9,17,4,0.16863754391670227
boltzmann,Acrobot-v1,-107.03666666666666,-103.05333333333331,-107.31333333333335,-102.35000000000001,334.5,0.08905166147804243,0.24277143959532999,False,-0.25666666666666665,0.37166666666666665,-3.9833333333333347,-5.299999999999997,9,21,0,0.04277394525706768
boltzmann,LunarLander-v3,56.27009009501318,35.22957553086136,66.26218411761793,32.15066793829556,525.0,0.2707053377245184,0.2707053377245184,False,0.16666666666666666,0.5833333333333334,21.04051456415183,23.231480283402203,17,13,0,0.584664711728692
vdbe,MountainCar-v0,-116.26333333333332,-104.72333333333333,-113.79285714285713,-102.76666666666668,160.5,1.928641129791374e-05,7.714564519165497e-05,True,-0.6433333333333333,0.17833333333333334,-11.54,-10.149999999999999,6,24,0,0.001430906355381012
vdbe,CartPole-v1,318.1433333333333,352.5299999999999,351.8142857142857,450.47727272727275,392.0,0.38983937640180916,0.7796787528036183,False,-0.1288888888888889,0.43555555555555553,-34.38666666666665,-4.300000000000011,12,15,3,0.7011080384254456
vdbe,Acrobot-v1,-107.03666666666666,-106.11333333333332,-107.31333333333335,-102.13125,391.5,0.3910848814408249,0.7796787528036183,False,-0.13,0.435,-0.9233333333333358,-4.300000000000004,14,16,0,0.855535551905632
vdbe,LunarLander-v3,56.27009009501318,35.43537449251516,66.26218411761793,39.14896799483855,534.0,0.21701682454862176,0.6510504736458653,False,0.18666666666666668,0.5933333333333334,20.834715602498026,36.30163081411503,20,10,0,0.09873714670538902
